A010	Advertising/PR	Y
A011	Aerospace Eng	Y
A012	Afro-Amer Studies	Y
A013	Aging	Y
A014	Agribusiness	Y
A015	Agricultural Educ	Y
A016	Agriculture	Y
A017	Agriculture Biology	Y
A018	Agriculture Comm	Y
A019	Agriculture Econ	Y
A020	Agriculture Journalism	Y
A021	Agriculture/Animal Sci	Y
A022	Agri-Equine Tech	Y
A023	Agri-Horticulture	Y
A024	Agronomy	Y
A025	Allied Health	Y
A026	Allied Health Education	Y
A027	Amer Indian Studies	Y
A028	Amer Sign Lang	Y
A029	American Studies	Y
A030	Animal Science	Y
A031	Anthropology	Y
A032	Application Software	Y
A033	Applied Arts	Y
A034	Applied Arts/Sciences	Y
A035	Applied Behav Studies	Y
A036	Applied Chemistry	Y
A037	Applied Econ/Fin	Y
A038	Applied Health	Y
A039	Applied Liberal Arts	Y
A040	Applied Management	Y
A041	Applied Mathematics	Y
A042	Applied Psychology	Y
A043	Applied Science	Y
A044	Applied Technology	Y
A045	Architecture	Y
A046	Architecture Engineer	Y
A047	Art	Y
A048	Art Education	Y
A049	Art History	Y
A051	Art/Design	Y
A052	Art/English	Y
A053	Art/Fine Art	Y
A055	Art/Painting	Y
A056	Art/Studio	Y
A057	Athletic Trainer	Y
A059	Aviation	Y
A060	Avionics	Y
B001	Ballet	Y
B003	Behavior Sci/Alc and Drug	Y
B004	Behavioral Sci & Ethics	Y
B005	Behavioral Sci/Theology	Y
B007	Biblical Studies	Y
B008	Biblical Studies & Bus Adm	Y
B009	Biochem & Molecular Biol	Y
B010	Biochemistry	Y
B012	Biological Sci/Pre-Med	Y
B013	Biological Sci/Zoology	Y
B014	Biology	Y
B016	Biology & Health Educ	Y
B017	Biology & History	Y
B018	Biology & Pre-Prof Health	Y
B020	Biology/Allied Health	Y
B021	Biology/Biological Science	Y
B022	Biology/Human Biol	Y
B023	Biology/Marine	Y
B025	Biology/Pre-Prof Health	Y
B026	Biomedical	Y
B027	Biostatistics	Y
B029	Biotechnology	Y
B030	Botany	Y
B031	Broadcasting	Y
B033	Business & Entrepren	Y
B034	Business & Mgmt	Y
B035	Business Adm & Mgmt	Y
B037	Business Communications	Y
B038	Business Data Processing	Y
B039	Business Education	Y
B041	Business Tech	Y
C001	CAD/Multimedia	Y
C002	Cardioresp Sci	Y
C003	Career Guidance	Y
C005	CDIS	Y
C006	Cell Biol & Molecular Biol	Y
C007	Certified CSU Bl	Y
C009	Chemistry	Y
C010	Chemistry & Biology	Y
C011	Chemistry/Health Sci	Y
C012	Child Devel/Early Child Educ	Y
C014	Child/Family	Y
C015	Christian Counseling	Y
C016	Christian Education	Y
C018	Church Recreation	Y
C019	Civil Engineering	Y
C020	Classical Civilization	Y
C022	Clinical Lab Sci/Med Tech	Y
C023	Clinical Psychology	Y
C025	CMP Specialist, Bus Micro	Y
C026	CNS Sci	Y
C027	Comm Arts & English	Y
8408	HFS Degree Completion_I			Y
C029	Comm Sci & Disorders	Y
C030	Commerce	Y
C031	Commercial Art	Y
C032	Commercial Design	Y
C034	Communication	Y
C035	Communication & Geography	Y
C036	Communication & Pol Sci	Y
C037	Communication Arts	Y
C038	Communication Disorders	Y
C039	Communication Educ	Y
C033	Communication/Advertising	Y
C040	Communication/Broadcast	Y
C041	Communication/Corp Comm	Y
C042	Communication/Journalism	Y
C043	Communication/Media	Y
C044	Communication/PR	Y
C045	Communication/Radio TV	Y
C046	Community Counsel	Y
C047	Community Health	Y
C048	Community/Human Serv	Y
C049	Comp and Inform Sci/Sys	Y
C050	Comp Sci & Bus Admin	Y
C051	Comp Spec Bus Micro	Y
C052	Comparative Literature	Y
C053	Compt Sc Acctg	Y
C054	Computer Educ	Y
C055	Computer End User Tech	Y
C056	Computer Engineering	Y
C057	Computer Info Sys	Y
C058	Computer Info Sys/Network	Y
C059	Computer Info Sys/Program	Y
C060	Computer Info Sys/Tech	Y
C061	Computer Info Sys/Web Graph	Y
C062	Computer Info Sys/Web Site	Y
C063	Computer Intg Mfg/Ent	Y
C064	Computer Oper Mgmt	Y
E029	Electronic Tech	Y
C065	Computer Programming	Y
C066	Computer Sci & MIS	Y
C067	Computer Sci & Quant Anlys	Y
C068	Computer Science	Y
C069	Computer Syst Tech	Y
C070	Conservation	Y
C071	Construction Tech	Y
C072	Consumer and Family Econ	Y
C073	Continuing Education	Y
C074	Conversion	Y
C075	Corrections	Y
C076	Counseling	Y
C077	Counseling Psychology	Y
C078	Counseling Secondary	Y
C079	Counselor Training	Y
C080	Court Reporting	Y
C081	Creative Writing	Y
C082	Credentials/Certificates	Y
C083	Criminal Forensic Studies	Y
C084	Criminal Justice	Y
C085	Criminal Justice & Psych	Y
C086	Criminal Justice/Admin	Y
C087	Criminal Justice/Law Enforc	Y
C088	Criminal Justice/Police	Y
C089	Criminal Justice/Sociology	Y
C090	Criminology	Y
C091	Cross Cultural	Y
C092	Cross Cultural Educ	Y
C093	CSCI	Y
C094	Cultural Anthropology	Y
C095	Curriculum and Instruction	Y
C096	Curriculum and Supervision	Y
C097	Curriculum Development	Y
C098	Cytotechnology	Y
D001	Dance	Y
D002	Dance Management	Y
D003	Data Processing	Y
D004	Deaf Education	Y
D005	Dental Assist	Y
D006	Dental Hygiene	Y
D007	Dentistry	Y
D008	Design	Y
D010	Design, House, Merch	Y
D011	Design/Visual Comm	Y
D012	Desktop Publishing	Y
D014	Development Studies	Y
D015	Diesel and Heavy Equip	Y
D016	Dietetics	Y
D017	Dist Manufacturing	Y
D019	Drafting	Y
D020	Drama	Y
D022	Drama/Communication	Y
D023	Drama/TV/Film	Y
D024	Dramatic Arts	Y
D026	Driver and Safety Educ	Y
E001	Early Childhood	Y
E002	Early/Late Childhood	Y
E004	Earth Science	Y
E005	e-Business	Y
E006	Ecology and Ethology	Y
E007	Econ/Banking and Finance	Y
E009	Economics & Bus Admin	Y
E010	Economics & Finance	Y
E012	Economics and Finance	Y
E013	Economics/Bus Admin	Y
E014	Educ & Behavioral Sci	Y
E015	Educ Admin and Higher Ed	Y
E017	Educ Dist	Y
E018	Educ Studies	Y
E019	Education	Y
E020	Education Admin	Y
E022	Educational Leadership	Y
E023	Educational Ministries	Y
E024	Educational Psychology	Y
E025	Educational Technology	Y
E027	Electrical Engineering	Y
E028	Electro-Mechanical	Y
E031	Elem Educ/Comp Sci	Y
E032	Elem Educ/Early Child	Y
E033	Elem Educ/English	Y
E035	Elem Educ/Math, Science	Y
E036	Elem Educ/Reading	Y
E037	Elem Educ/Rem Read	Y
E039	Elem Educ/Social Stud	Y
E040	Elem Educ/Sociology	Y
E041	Elem Educ/Spec Ed	Y
E043	Elementary Education	Y
E044	Elementary Principal	Y
E045	Emerg Med Tech	Y
E046	Energy Mgmt	Y
E048	Engineering Design Tech	Y
E049	Engineering Math	Y
E050	Engineering Mgmt	Y
E052	Engineering Tech	Y
E053	English	Y
E054	English & Philosophy	Y
E056	English Bible	Y
E057	English Classics	Y
E058	English Education	Y
E059	English Lit	Y
E061	English/Communication	Y
E062	English/Corp Comm	Y
E063	English/Creative Writing	Y
E064	English/Drama	Y
4454	Advertising_I			Y
4645	Musical Arts	Y
4646	Music-Performance_I	Y
4647	Music (Business)_I	Y
4648	Music-Theatre_I	Y	Y
4649	Music-Jazz Studies_I	Y
464A	MUS Instrumental			Y
464B	MUS Piano			Y
464C	MUS Vocal			Y
4650	Music-Applied_I	Y	Y
4651	Music-Instrumental/Vocal_I	Y	Y
4652	Music Education	Y
4653	Music-Piano_I	Y	Y
4654	Music-Church Music_I	Y	Y
4655	Music-Vocal_I	Y	Y
465A	MUSED Instrumental			Y
465B	MUSED Keyboard/Instrum			Y
465C	MUSED Keyboard/Vocal			Y
465D	MUSED Percussion			Y
465E	MUSED Vocal			Y
4851	Spanish Education_I	Y
4920	Leadership Communication		Y
4923	COMM Corporate Comm			Y
4925	COMM Comm Process_I			Y
4926	Communication Education_I	Y
4927	Speech-Legal Comm_I	Y	Y
4929	Speech-Theatre_I	Y	Y
4950	Theatre_I	Y	Y
5190	Driver Education_I		Y	Y
5347	HHP Recreation/Fitness_I			Y
5349	HHP Clinical/Wellnes_I			Y
5350	Health and Physical Education	Y
5440	Athletic Training_I	Y
5500	Health and Kinesiology, MS_I	Y
5760	Safety_I	Y	Y
6125	Substance Abuse Counsel, MS_I	Y
6145	Counseling Psychology, MS_I	Y
6147	CERT-School Psychology Cert_I	Y
6180	CERT-Counseling Certificate_I	Y		Y
6185	School Counseling, MEd_I	Y
6525	Library Media_I	Y
6750	Psychology-General_I	Y	Y
6751	Psychology-Experimental_I	Y	Y
6752	CERT-Psychometric Cert_I	Y
6753	Psychology-Developmental_I	Y	Y
6754	Psychology-Human Resour Dev_I	Y	Y
6755	Psychology-Mental Health_I	Y	Y
6870	Speech-Language Pathology, MS	Y
6871	CERT-Visually Impaired Cert	Y		Y
6872	Spec Educ-Administration_I	Y		Y
6873	Spec Educ-Mild/Mod Disorder_I	Y
6875	Spec Educ-Early Child_I	Y		Y
6876	Spec Educ-Mental Retardation_I	Y
6877	Spec Educ-Gifted_I	Y		Y
6879	Special Education, Med_I	Y
6900	Speech-Language Pathology	Y
6901	Speech Lang Path Educ_I	Y
6902	Special Education Education_I	Y
7045	Health Care Administration_I	Y	Y
7070	Post Baccalaureate Pre-Hlth_I	Y
7071	BIOL Organismic_I			Y
7072	BIOL Cellular_I			Y
7073	Biology-Fisheries_I	Y	Y
7074	BIOL Fish and Wildlife_I			Y
7075	Biology-Botany_I	Y	Y
7077	Biology-Zoology_I	Y	Y
7079	Biology_I	Y
7080	Pre-Professional Health_I	Y
7081	PPH-MED-Medicine			Y
7082	PPH-DENT-Dental			Y
7083	PPH-VET-Veterinary			Y
7084	PPH-OT-Occupational Therapy			Y
7085	PPH-PT-Physical Therapy			Y
7086	PPH-DHYG-Dental Hygiene			Y
7087	PPH-RAD-Medical Imaging			Y
7088	PPH-PHAR-Pharmacy			Y
7089	PPH-CHIR-Chiropractor			Y
7091	PPH-PA-Phys Asst/Assoc			Y
7092	PPH-OPT-Optometry			Y
7150	Chemistry	Y	Y
7235	Engineering Physics_I	Y	Y
7360	Geology		Y
7425	SCI EDUC Biology			Y
7426	SCI EDUC Chemistry			Y
7427	SCI EDUC Physics			Y
7600	Mathematics	Y	Y
7602	Computer Science	Y	Y
7620	MLS Medical Lab Sci 2+2			Y
7625	MLS Medical Lab Sci 3+1			Y
7635	Radiologic Technology_I	Y
7675	Physics_I	Y	Y
7710	Mathematics Education, MEd	Y
7720	Science Education, MEd	Y
7880	Nursing	Y
7885	Nursing Education, MSN_I	Y
8086	Environmental Management_I	Y	Y
8300	Environmntl/Health/Safety Mgmt	Y	Y
8301	EHSM Major/Minor_I			Y
8303	EHSM Safety Mgmt_I			Y
8400	HFS General_I			Y
8401	Home Economics Education_I	Y
8402	HFS-Vocational_I	Y	Y
8404	HFS-Fam Rel/Child_I	Y	Y
8405	HFS-Fashion Marketing_I	Y	Y
8406	HFS Dietetics_I			Y
8407	HFS Early Care_I			Y
19IA	English_I			Y
8425	Technology Educ_I	Y
8441	IOM-Engineering Design_I	Y	Y
8442	IOM-Electronics_I	Y	Y
8444	IOM-Elect/Prt/Mgt_I	Y	Y
8445	Industrial Management, MS_I	Y
8446	IOM-Manufacturing Systems_I	Y	Y
8448	IOM-Quality Systems_I	Y	Y
8449	IOM-Industrial Training_I	Y	Y
8450	Safety Management_I	Y	Y
8500	Technology	Y	Y
8600	Supply Chain Management_I	Y
9011	Post Baccalaur-Alternate Cert			Y
9300	Geography_I	Y	Y
9301	Applied Geography_I	Y
9375	History	Y	Y
9376	History Education_I	Y
9420	Ethnic Studies		Y
F044	Foundations of Business	Y
9700	CRJ Criminal Justice		Y	Y
9701	Paralegal Training_I	Y
9702	CRJ Legal Studies_I		Y	Y
9703	CRJ-Adm Of Justice_I	Y
9705	CRJ Homeland Security_I		Y	Y
9710	CRJ-Justice Studies		Y
9725	POLS General			Y
9726	POLS Public Adm_I			Y
9800	Social Studies Education	Y
9810	Social Welfare		Y
9814	Pre-Social Work_I	Y
9815	Social Work	Y
9820	Anthropology		Y
9825	Sociology	Y	Y
9826	HCA-Gerontology_I	Y	Y
9828	Gerontology_I		Y
9830	HCA-Health Services_I	Y	Y
9835	Health Care Admin_Minor_I		Y
9840	CERT-Voc Bus and Office Educ_I	Y
9850	Criminal Justice, MS	Y
9855	American Studies, MA	Y
9888	Human Ecology		Y
9907	Military Science Minor		Y
7900	Occupational Therapy, MS	Y
7700	Natural Sciences, MS	Y
3602	Higher Education Leadership_I	Y
4999	Women/Gender Studies Minor		Y
8430	Environ/Hlth/Safety Mgmt, MS_I	Y
5348	HHP Athletic Train_I			Y
E072	Entrepreneurship	Y
E073	Environmental Engineering	Y
E074	Environmental Geography	Y
E075	Environmental Health	Y
E076	Environmental Pol	Y
E077	Environmental Science	Y
E078	Equine Tech	Y
E079	Except Child & Comm Dis	Y
E080	Executive Fellows	Y
E081	Exercise and Sports	Y
E082	Exercise Science	Y
E083	Exploratory	Y
F001	Fam Cons Sci & Bus Adm	Y
F002	Family Consumer Sci Ed	Y
F003	Family Consumer Science	Y
F004	Family Development	Y
F005	Family Relations	Y
F006	Family Science	Y
F007	Family/Gerontology	Y
F008	Family/Human Services	Y
F009	Farm/Ranch Mgmt	Y
F010	Fashion Design	Y
F011	Fashion Marketing	Y
F012	Fashion Merchandising	Y
F013	Fashion Trades	Y
F014	Film	Y
F015	Finance	Y
F016	Finance and Banking	Y
F017	Finance Mgmt	Y
F018	Finance/Accounting	Y
F019	Finance/Banking	Y
F020	Finance/Comm Bank Mgmt	Y
F021	Finance/Real Estate	Y
F022	Fine Arts	Y
F023	Fine Arts & Reading	Y
F024	Fine Arts/Painting, Drawing	Y
F025	Fire and Emerg Serv	Y
F026	Fire Protect Tech	Y
F027	Fire Science	Y
F028	Fitness and Exercise	Y
F029	FNRE	Y
F030	Food Service Mgmt	Y
F031	Food Service Mgmt/Dietetic	Y
F032	Food, Nutritionm Inst Admin	Y
F033	Foods and Nutrition	Y
F034	Foreign Language	Y
F035	Foreign Language and Lit	Y
F036	Foreign Missions	Y
F037	Forest Technology	Y
F038	Forestry	Y
F039	French	Y
F040	French Education	Y
F041	French/Intnl Mgmt	Y
F042	Funeral Service	Y
G001	General Admin	Y
G003	General Studies	Y
G004	General Studies/Bus Tech	Y
G005	General Studies/Business	Y
G007	General Studies/Electronic	Y
G008	General Studies/History	Y
G009	General Studies/Sociology	Y
G010	Geography	Y
G012	Geology Engineering	Y
G013	Geophysics	Y
G014	Geosciences	Y
G016	Gerontology	Y
G017	Gifted-Talented Educ	Y
G019	Government & Spanish	Y
G020	Government/Political Sci	Y
G021	Graphic Design	Y
G023	Gunsmithing	Y
H001	Health	Y
H002	Health Admin	Y
H004	Health and Human Perf	Y
H005	Health and Phys Educ	Y
H006	Health and Sport Sci	Y
H007	Health Care Admin	Y
H009	Health Education	Y
H010	Health Info Mgmt	Y
